analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support,origin,window_definition
ipw_2015,total_citations_120,absolute,14.034392238174648,10.920359325901822,-3.114032912272553,2.2002420378820724,-7.426507306521415,1.198441481976309,-7.525253484719209,1.3057946728053167,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+120 months)"
ipw_2015,near_120,absolute,4.037366778220791,3.4239359435397505,-0.6134308346809937,0.6204145774460855,-1.829443406475321,0.6025817371133338,-1.853301184734144,0.6189189491550681,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+120 months)"
ipw_2015,far_120,absolute,5.973200522841672,4.580041518994191,-1.3931590038474944,0.9011673926271178,-3.159447093396645,0.3731290857016565,-3.1241165663769648,0.4386576873239608,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+120 months)"
ipw_2015,total_citations_late60_120,absolute,7.672962517864679,6.112397609598229,-1.5605649082665476,1.113624292177882,-3.743268520935197,0.6221387044021012,-3.751548728954286,0.6915120036965462,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0+60 months, t0+120 months)"
ipw_2015,near_late60_120,absolute,2.1352882919736347,1.8687797354290088,-0.2665085565446695,0.3001395104587424,-0.8547819970438046,0.3217648839544656,-0.8928563203898384,0.3213240475470384,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0+60 months, t0+120 months)"
ipw_2015,far_late60_120,absolute,3.354030210391873,2.604091463306667,-0.7499387470852394,0.4783182101987343,-1.6874424390747589,0.1875649449042797,-1.6756888025652363,0.2100374163991203,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0+60 months, t0+120 months)"
ipw_2015,theta_y1_5,log_ratio_of_ratios,1.377004330471114,1.2705797947415929,-0.0804370370156886,0.0550719244519561,-0.1883780089415228,0.0275039349101454,-0.1955934004423263,0.0203859678814078,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+60 months)"
ipw_2015,theta_y1_10,log_ratio_of_ratios,1.479479287120164,1.3376539732354067,-0.1007728794927285,0.0487983636136371,-0.1964176721754574,-0.0051280868099997,-0.2029916936035694,-0.0103517362049212,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+120 months)"
ipw_2015,theta_y6_10,log_ratio_of_ratios,1.5707622352180557,1.3934715868114838,-0.1197628237771873,0.0482868621927505,-0.2144050736749784,-0.0251205738793963,-0.2131858201138244,-0.0283264867590116,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0+60 months, t0+120 months)"
ipw_2015,theta_120_minus_60,paired_change,,,-0.0203358424770399,0.0172932423993127,-0.0542305975796928,0.0135589126256129,-0.0540216761069742,0.0137799535579277,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"theta_y1_10 minus theta_y1_5: [t0, t0+120 months) versus [t0, t0+60 months)"
aipw_scope_gap_1,near,mean_broad,,,2.22889876243439,0.25081557721961434,1.7373002310839458,2.7204972937848337,1.6971402655721473,2.7068105575069765,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,near,mean_specialized,,,1.9524403193463915,0.154537753334341,1.6495463228110832,2.2553343158817,1.6324209937847656,2.251313346724767,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,near,absolute,,,-0.2764584430879986,0.19233996433475098,-0.6534447731841105,0.10052788700811333,-0.6432502203215634,0.13003177820110798,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,near,log_mean_ratio,,,-0.1324275990051259,0.08651632975912621,-0.3019996053330133,0.03714440732276145,-0.29346867841236646,0.046716279711837755,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,near,relative_percent,,,-12.403364735419942,,-26.066164331808434,3.7842882129418056,-25.432742185266154,4.782467778266552,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,far,mean_broad,,,3.209162038679095,0.2929766536220781,2.634927797579822,3.7833962797783682,2.632701648358223,3.8010240515326608,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,far,mean_specialized,,,2.709626735642972,0.15013131824471046,2.4153693518833395,3.0038841194026045,2.4172006741745364,2.989298026906382,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,far,absolute,,,-0.4995353030361232,0.2364184914499988,-0.9629155462781208,-0.03615505979412559,-0.9802040642829021,-0.042524908948721594,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,far,log_mean_ratio,,,-0.1691989664426767,0.07327430802276942,-0.3128166101673048,-0.025581322718048638,-0.3169520674092469,-0.023153875304881888,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,far,relative_percent,,,-15.565910883133032,,-26.861597133460524,-2.525689301638083,-27.16343332575845,-2.288788122033686,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_1,far_near_routing,log_ratio_contrast,,,-0.03677136743755083,0.03995467394743439,-0.11508252837452224,0.04153979349942058,-0.11781256306633041,0.048812427063325586,1341573,18347,0.5580215127113004,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,near,mean_broad,,,1.939659374079799,0.13001306104188856,1.6848337744376973,2.1944849737219005,1.6626267433864435,2.1782606609291624,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,near,mean_specialized,,,1.8412676558237195,0.07145301170143654,1.701219752888904,1.9813155587585352,1.7035847880419308,1.9849698419849202,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
